Index,ImageURL
0,https://media.istockphoto.com/id/1365386339/photo/group-of-cheerful-people-laughing-while-watching-movie-in-cinema.jpg?s=612x612&w=0&k=20&c=U2H41FD763dH37bXPV53MialUN4VwygJBBH8W6rAaoU=
1,https://media.istockphoto.com/id/484072120/photo/young-couple-watching-a-film.jpg?s=612x612&w=0&k=20&c=-pq1Nr3jTiSi33w8jK9roOsDG76dUKKHuuPpndxHT4Q=
2,https://media.istockphoto.com/id/824033280/photo/group-of-people-laughing-at-the-movie-theater.jpg?s=612x612&w=0&k=20&c=KGOgctC9GchqYOw_d6lvZbAkgheycLESna3dyF3NhBo=
3,https://www.shutterstock.com/image-photo/group-people-enjoying-while-watching-260nw-2454926179.jpg
4,https://media.gettyimages.com/id/1146822780/photo/surprised-young-man-drinking-soda-while-watching-movie-with-friend-in-cinema-hall.jpg?s=612x612&w=gi&k=20&c=7Asjc7sBvW36Wfr8M9uk36oLTnzgz54qZEuyCnhEJt0=
5,https://media.istockphoto.com/id/1363352866/photo/friends-enjoying-a-comedy-movie-at-the-cinema.jpg?s=612x612&w=0&k=20&c=j95E4hnsXQ2OEtNfJx9ct2t1bo8mTvYwW2hicZVYl9Q=
6,https://as1.ftcdn.net/jpg/02/43/62/78/1000_F_243627831_mZP0TwkljMspNOW8zxMsSvWJhLi749ig.jpg
7,https://media.istockphoto.com/id/1052501724/photo/couple-in-love-hugging-at-cinema.jpg?s=612x612&w=0&k=20&c=ZxwGa3rQuxJAFWl1qsFE6dak_01b_aJY3W7WdArOjrs=
8,https://thumbs.dreamstime.com/b/scary-movies-cinema-what-movie-shot-young-scared-women-hiding-her-face-behind-her-hands-horror-movie-76227063.jpg
9,https://c8.alamy.com/comp/DCW4NC/people-at-the-cinema-DCW4NC.jpg
10,https://media.istockphoto.com/id/1478374885/photo/joyful-family-watching-movie-in-cinema.jpg?s=612x612&w=0&k=20&c=U0Qp-c2vCTUPG51ZOD2H7KcrByyBKow3r9wSR2QMFZU=
11,https://media.istockphoto.com/id/1458636959/photo/gay-couple-watching-3d-movie.jpg?s=612x612&w=0&k=20&c=fGabzGXl6toZ8yJKKW_vToUeaZC8nnTee7kQDXgWmYI=
12,https://media.gettyimages.com/id/1340577488/photo/girl-enjoying-watching-a-nice-movie-at-the-cinema.jpg?s=612x612&w=gi&k=20&c=EdFZb_nGRVIXNqegYHdeXTaJEzz-fI3Je979i8CW6-k=
13,https://www.shutterstock.com/image-photo/people-watching-movie-cinema-they-600nw-2465961239.jpg
14,https://media.gettyimages.com/id/1281543304/photo/young-woman-enjoying-watching-movie-at-the-cinema.jpg?s=612x612&w=gi&k=20&c=E8YzyRtjVcWqDeRb5dIAvKuSjsPfFVdkSNRTsIb1wto=
15,https://st3.depositphotos.com/1662991/16155/i/1600/depositphotos_161558862-stock-photo-people-at-movie-theater.jpg
16,https://thumbs.dreamstime.com/b/cinema-19385515.jpg
17,https://media.istockphoto.com/id/957023718/photo/anxious-audience-waiting-for-the-curtains-to-open-to-see-the-performance.jpg?s=612x612&w=0&k=20&c=n6_Sbo40UHp7iO1s4Yhvuc0SCS9BqdMaNbxj8wA-S7Y=
18,https://media.gettyimages.com/id/1458636655/photo/mother-and-daughter-smiling-at-the-cinema.jpg?s=612x612&w=gi&k=20&c=T8wEWFitF_WLz3TNTOmYlj00euVVibBNNC1kzq3GSk8=
19,https://www.shutterstock.com/image-photo/cinema-blank-wide-screen-people-600w-2314929885.jpg
20,https://c8.alamy.com/comp/HPR755/our-weekend-tradition-young-happy-people-smiling-joyfully-while-watching-HPR755.jpg
