Index,ImageURL
0,https://media.istockphoto.com/id/985041468/photo/modeling-on-a-potters-wheel.jpg?s=612x612&w=0&k=20&c=GL8--f0_STRdNNmCOe73AdM8LWq38G0Tn9jRPM1Ct8w=
1,https://media.istockphoto.com/id/894870474/photo/two-women-at-a-pottery-workshop-making-clay-pots.jpg?s=612x612&w=0&k=20&c=6SJuo_uRLPJ3aD9YRHt8zJqcE1CO-vbBtjVgOlzoEq4=
2,https://media.gettyimages.com/id/1094970614/photo/two-people-creating-pottery.jpg?s=612x612&w=gi&k=20&c=h_lsjGQJgf7qgoQD9Pkmmv5CjCqThgNP99i6mkVGTlY=
3,https://media.istockphoto.com/id/1884825617/photo/pottery-teacher-teaching-student-at-a-ceramics-workshop.jpg?s=612x612&w=0&k=20&c=_JjZpDBW60UMDTGQ31BapektHeBEaR6qpsd8LnXsnhE=
4,https://media.gettyimages.com/id/1320126006/photo/young-woman-instructor-teaching-a-man-to-do-pottery-using-a-pottery-wheel-on-a-workshop.jpg?s=612x612&w=gi&k=20&c=zalQhsf4Rn-w2NuDqV7n2qci6TACOHPk3_SKC7aTZKI=
5,https://images.stockcake.com/public/f/5/d/f5dcba7e-e820-42bf-96d9-5111497c7e43_large/pottery-class-activity-stockcake.jpg
6,https://c8.alamy.com/comp/HG4HXD/senior-man-with-teacher-in-pottery-class-HG4HXD.jpg
7,https://media.gettyimages.com/id/1357967978/photo/happy-group-of-people-in-a-pottery-class.jpg?s=612x612&w=gi&k=20&c=o2jx7hxZepqPBgX_OIGCCYU5CUKGNBqWnW3oc26S1vI=
8,https://t4.ftcdn.net/jpg/04/14/13/11/360_F_414131198_QU7QwNchV2tMWPev1eF7KubRl0LZXqSn.jpg
9,https://media.istockphoto.com/id/1133964549/photo/trainees-molding-mud-in-pottery-workshop.jpg?s=612x612&w=0&k=20&c=2_uFVSp6qkJJ8ZBhzpb4eNY_lqqZqWi3E1wAZbCCsQY=
10,https://www.shutterstock.com/image-photo/portrait-multicultural-pottery-course-attendees-600nw-2480656295.jpg
11,https://media.gettyimages.com/id/1439309211/photo/middle-aged-people-in-a-pottery-class.jpg?s=612x612&w=gi&k=20&c=vZciZP0vwHTkE8cxIFFdvg-T2bbYeVBZAQf4qjLA3ts=
12,https://previews.123rf.com/images/gstockstudio/gstockstudio1610/gstockstudio161000494/65334862-passing-on-pottery-skills-cheerful-young-man-and-little-boy-making-ceramic-pot-on-the-pottery-class.jpg
13,https://c8.alamy.com/comp/WXRA7G/senior-woman-spinning-clay-on-a-wheel-with-a-help-of-a-teacher-at-pottery-class-WXRA7G.jpg
14,https://s3.envato.com/files/502279887/22-02-2024%20-%20SASKA%20CERAMICS%20RADIONICA%20ZT8_5182.jpg
15,https://www.shutterstock.com/image-photo/creating-ceramic-bowl-by-yourself-260nw-2495863893.jpg
16,https://media.istockphoto.com/id/1884847089/photo/senior-woman-on-pottery-class-at-a-ceramics-workshop.jpg?s=612x612&w=0&k=20&c=sISlRYqH0ViuzLNW-7jv4leJDDANE8QLovyeh5AjpqM=
17,https://previews.123rf.com/images/boggy22/boggy221909/boggy22190900558/131588254-senior-woman-spinning-clay-on-a-wheel-with-a-help-of-a-teacher-at-pottery-class.jpg
18,https://images.stockcake.com/public/b/b/4/bb4f4881-8e82-4a0b-815c-ee9ec1f1f424_large/kids-creating-pottery-stockcake.jpg
19,https://www.shutterstock.com/image-photo/female-hands-forming-plate-wet-600nw-2551918429.jpg
20,https://plus.unsplash.com/premium_photo-1706115464365-a82276f7e7b4?fm=jpg&q=60&w=3000&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8cG90dGVyeSUyMGNsYXNzfGVufDB8fDB8fHww
21,https://as2.ftcdn.net/jpg/05/31/87/99/1000_F_531879934_Vn8FbIVgHNrqAQvPaqvfNzLPxO8rTHJx.jpg
22,https://media.gettyimages.com/id/1411992947/photo/senior-woman-artist-making-clay-bowl-on-pottery-wheel-in-pottery-studio.jpg?s=612x612&w=gi&k=20&c=KAZSp4p8HwUsjRCZmQPuXGloZyr4TTiCqTvwXuleGKk=
23,https://previews.123rf.com/images/seventyfour74/seventyfour741903/seventyfour74190300485/118890802-pottery-class-for-kids.jpg
24,https://previews.123rf.com/images/seventyfour74/seventyfour741903/seventyfour74190300485/118890802-pottery-class-for-kids.jpg
25,https://c8.alamy.com/comp/WBCB3E/professional-african-american-male-potter-painting-ceramic-pot-in-pottery-workshop-WBCB3E.jpg
